"CRASH_ERR_CD","CRASH_ERR_LONG_DESC","CRASH_ERR_MED_DESC","CRASH_ERR_SHORT_DESC","CRASH_ERR_PARTIC_VALID_FLG","CRASH_ERR_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"000","No error","NO ERROR","NONE      ","True","","2002-03-20 00:00:00","CONVERT "
"001","Wide turn","WIDE TURN","WIDE TRN  ","True","","2002-03-20 00:00:00","CONVERT "
"002","Cut corner on turn","CUT CORNER","CUT CORN  ","True","","2002-03-20 00:00:00","CONVERT "
"003","Failed to obey mandatory traffic turn signal, sign or lane markings","F OBEY TRN","FAIL TRN  ","True","","2002-03-20 00:00:00","CONVERT "
"004","Left turn in front of oncoming traffic","LTRN FNT TRAF","L IN TRF  ","True","","2002-03-20 00:00:00","CONVERT "
"005","Left turn where prohibited","LTRN PROHIB","L PROHIB  ","True","","2002-03-20 00:00:00","CONVERT "
"006","Turned from wrong lane","T FRM WRNG LN","FRM WRNG  ","True","","2002-03-20 00:00:00","CONVERT "
"007","Turned into wrong lane","T TO WRONG LN","TO WRONG  ","True","","2002-03-20 00:00:00","CONVERT "
"008","U-turned illegally","ILLEG U-TURN","ILLEG U   ","True","","2002-03-20 00:00:00","CONVERT "
"009","Improperly stopped in traffic lane","IMP STOP","IMP STOP  ","True","","2002-03-20 00:00:00","CONVERT "
"010","Improper signal or failure to signal","IMP/FAIL SIG","IMP SIG   ","True","","2002-03-20 00:00:00","CONVERT "
"011","Backing improperly (not parking)","IMP BACKING","IMP BACK  ","True","","2012-04-04 08:44:39","Hwye85p "
"012","Improperly parked","IMP PARKED","IMP PARK  ","True","","2002-03-20 00:00:00","CONVERT "
"013","Improper start leaving parked position","IMP STRT PARK","UNPARK    ","True","","2002-03-20 00:00:00","CONVERT "
"014","Improper start from stopped position","IMP STRT STOP","IMP STRT  ","True","","2002-03-20 00:00:00","CONVERT "
"015","Improper or no lights (vehicle in traffic)","IMP/NO LIGHTS","IMP LGHT  ","True","","2002-03-20 00:00:00","CONVERT "
"016","Inattention (Failure to Dim Lights prior to 4/1/97)","INATTENTION","INATTENT  ","True","","2014-08-19 15:22:48","Hwye85p "
"017","Driving unsafe vehicle (no other error apparent)","DR UNSAFE VEH","UNSF VEH  ","True","","2002-03-20 00:00:00","CONVERT "
"018","Entering/exiting parked position w/ insufficient clearance; other improper parking maneuver","PRK MAN N/CLR","OTH PARK  ","True","","2012-04-04 08:06:02","Hwye85p "
"019","Disregarded other driver's signal","DISRG DR SIG","DIS DRIV  ","True","","2002-03-20 00:00:00","CONVERT "
"020","Disregarded traffic signal","DISRG TRF SIG","DIS SGNL  ","True","","2002-03-20 00:00:00","CONVERT "
"021","Disregarded stop sign or flashing red","DISRG STP SGN","RAN STOP  ","True","","2002-03-20 00:00:00","CONVERT "
"022","Disregarded warning sign, flares or flashing amber","DISRG WRN SGN","DIS SIGN  ","True","","2002-03-20 00:00:00","CONVERT "
"023","Disregarded police officer or flagman","DISRG POL/FLG","DIS OFCR  ","True","","2002-03-20 00:00:00","CONVERT "
"024","Disregarded siren or warning of emergency vehicle","DISRG SIR/EMR","DIS EMER  ","True","","2002-03-20 00:00:00","CONVERT "
"025","Disregarded RR signal, RR sign, or RR flagman","DISRG RR SIG","DIS RR    ","True","","2002-03-20 00:00:00","CONVERT "
"026","Failed to avoid stopped or parked vehicle ahead other than school bus","F AVOID STP V","REAR-END  ","True","","2002-03-20 00:00:00","CONVERT "
"027","Did not have right-of-way over pedalcyclist","F/YLD ROW BIK","BIKE ROW  ","True","","2002-03-20 00:00:00","CONVERT "
"028","Did not have right-of-way","NO R-O-W","NO ROW    ","True","","2002-03-20 00:00:00","CONVERT "
"029","Failed to yield right-of-way to pedestrian","F/YLD ROW PED","PED ROW   ","True","","2002-03-20 00:00:00","CONVERT "
"030","Passing on a curve","PASS ON CURVE","PAS CURV  ","True","","2002-03-20 00:00:00","CONVERT "
"031","Passing on the wrong side","PASS WRNG SID","PAS WRNG  ","True","","2002-03-20 00:00:00","CONVERT "
"032","Passing on straight road under unsafe conditions","PASS TANGENT","PAS TANG  ","True","","2002-03-20 00:00:00","CONVERT "
"033","Passed vehicle stopped at crosswalk for pedestrian","PASS STP4PED","PAS X-WK  ","True","","2002-03-20 00:00:00","CONVERT "
"034","Passing at intersection","PASS AT INTER","PAS INTR  ","True","","2002-03-20 00:00:00","CONVERT "
"035","Passing on crest of hill","PASS ON HILL","PAS HILL  ","True","","2002-03-20 00:00:00","CONVERT "
"036","Passing in ""No Passing"" zone","PASS N/PASSNG","N/PAS ZN  ","True","","2002-03-20 00:00:00","CONVERT "
"037","Passing in front of oncoming traffic","PASS ONC TRAF","PAS TRAF  ","True","","2002-03-20 00:00:00","CONVERT "
"038","Cutting in (two lanes - two way only)","CUTTING IN","CUT-IN    ","True","","2002-03-20 00:00:00","CONVERT "
"039","Driving on wrong side of the road (2-way undivided roadways)","DR WRONG SIDE","WRNGSIDE  ","True","","2014-08-19 15:20:05","Hwye85p "
"040","Driving through safety zone or over island","DR THRU MEDN","THRU MED  ","True","","2002-03-20 00:00:00","CONVERT "
"041","Failed to stop for school bus","F/STP SCHLBUS","F/ST BUS  ","True","","2002-03-20 00:00:00","CONVERT "
"042","Failed to decrease speed for slower moving vehicle","F/SLO SLO VEH","F/SLO MV  ","True","","2002-03-20 00:00:00","CONVERT "
"043","Following too closely (must be on officer's report)","FOLLW TO CLOS","TOO CLOSE ","True","","2016-02-24 18:23:18","Hwye85p "
"044","Straddling or driving on wrong lanes","STRD/DR WRNG","STRDL LN  ","True","","2002-03-20 00:00:00","CONVERT "
"045","Improper change of traffic lanes","IMP LANE CHG","IMP CHG   ","True","","2002-03-20 00:00:00","CONVERT "
"046","Wrong way on one-way roadway; wrong side divided road","WRNG WY/1 WAY","WRNG WAY  ","True","","2014-08-19 15:20:57","Hwye85p "
"047","Driving too fast for conditions (not exceeding posted speed)","V BASIC RULE","BASCRULE  ","True","","2012-04-04 08:44:39","Hwye85p "
"048","Opened door into adjacent traffic lane","OPN DOOR TRAF","OPN DOOR  ","True","","2002-03-20 00:00:00","CONVERT "
"049","Impeding Traffic","IMPEDING TRAF","IMPEDING  ","True","","2006-05-19 13:30:00","isd849  "
"050","Driving in excess of posted speed","SPEED","SPEED     ","True","","2006-05-19 13:22:24","isd849  "
"051","Reckless driving (per PAR)","RECKLSS DRVNG","RECKLESS  ","True","","2006-05-19 13:22:50","isd849  "
"052","Careless driving (per PAR)","CARELSS DRVNG","CARELESS  ","True","","2006-05-19 13:23:10","isd849  "
"053","Speed Racing (per PAR)","RACING","RACING    ","True","","2006-05-19 15:20:22","isd849  "
"054","Crossing at intersection, no traffic signal present","X-INT NO SGNL","X N/SGNL  ","True","","2012-04-04 08:44:39","Hwye85p "
"055","Crossing at intersection, traffic signal present","X-INT W/ SGNL","X W/SGNL  ","True","","2012-04-04 08:44:39","Hwye85p "
"056","Crossing at intersection - diagonally","X-INT DIAGNL","DIAGONAL  ","True","","2002-03-20 00:00:00","CONVERT "
"057","Crossing between intersections","X-BTWN INTER","BTWN INT  ","True","","2002-03-20 00:00:00","CONVERT "
"059","Walking, running, riding, etc., on shoulder WITH traffic","W SHLD W/TRAF","W/TRAF-S  ","True","","2002-03-20 00:00:00","CONVERT "
"060","Walking, running, riding, etc., on shoulder FACING traffic","W SHLD A/TRAF","A/TRAF-S  ","True","","2002-03-20 00:00:00","CONVERT "
"061","Walking, running, riding, etc., on pavement WITH traffic","W PAVE W/TRAF","W/TRAF-P  ","True","","2002-03-20 00:00:00","CONVERT "
"062","Walking, running, riding, etc., on pavement FACING traffic","W PAVE A/TRAF","A/TRAF-P  ","True","","2002-03-20 00:00:00","CONVERT "
"063","Playing in street or road","PLAY IN RDWY","PLAYINRD  ","True","","2002-03-20 00:00:00","CONVERT "
"064","Pushing or working on vehicle in road or on shoulder","PUSH MV IN RD","PUSH MV   ","True","","2002-03-20 00:00:00","CONVERT "
"065","Working in roadway or along shoulder","WORK IN RD","WORK IN RD","True","","2015-11-12 16:21:20","Hwye85p "
"070","Standing or lying in roadway","LYING IN RD","LAY ON RD ","True","","2015-11-12 16:21:20","Hwye85p "
"071","Improper use of traffic lane by non-motorist","N-M IMP USE","NM IMP USE","True","","2014-08-19 15:24:59","hwye85p "
"073","Eluding / Attempt to elude","ELUDING","ELUDING   ","True","","2014-08-19 15:26:58","Hwye85p "
"079","Failed to negotiate a curve","FAIL NEG CURV","F NEG CURV","True","","2014-08-20 14:44:53","Hwye85p "
"080","Failed to maintain lane","F MAINT LANE","FAIL LN   ","True","","2002-03-20 00:00:00","CONVERT "
"081","Ran off road","RAN OFF RD","OFF RD    ","True","","2002-03-20 00:00:00","CONVERT "
"082","Driver misjudged clearance","MISJUDGE CLR","NO CLEAR  ","True","","2002-03-20 00:00:00","CONVERT "
"083","Over-correcting","OVERSTEER","OVRSTEER  ","True","","2014-11-13 14:24:47","Hwye85p "
"084","Code not in use","NOT USED","NOT USED  ","True","1984-12-31 00:00:00","2006-09-13 10:54:13","isd849  "
"085","Overloading or improper loading of vehicle with cargo or passengers","OVERLOAD","OVRLOAD   ","True","","2002-09-12 00:00:00","CONVERT "
"097","Unable to determine which driver disregarded traffic control device ","UNA DISRG TCD","UNA DIS TC","True","","2003-08-02 00:00:00","ISCO866 "
